54,18,56,36
54,18,56,36
54,18,56,36
53,17,55,36
53,17,54,35
53,18,55,35
52,18,54,35
53,17,54,35
52,17,54,35
51,17,53,35
52,17,54,35
56,18,53,35
55,18,53,34
55,18,53,34
55,18,52,34
54,17,52,34
54,17,51,34
54,17,51,33
53,17,51,33
53,17,51,33
53,16,50,33
53,17,51,32
52,17,50,32
54,20,50,32
54,21,50,32
53,22,49,31
54,22,49,31
53,21,49,31
53,21,49,31
52,21,49,31
52,21,49,31
52,21,48,31
51,21,48,31
51,21,48,31
51,20,47,31
51,21,47,31
51,21,48,31
51,20,47,30
51,21,47,30
50,20,47,30
51,21,46,30
50,20,46,29
50,20,46,29
49,20,46,29
49,20,46,29
48,20,46,29
49,19,45,29
49,19,45,28
49,19,45,44
49,21,86,59
49,21,88,58
49,21,87,57
49,21,86,57
48,20,86,56
48,21,86,56
48,20,85,56
48,19,84,56
48,20,84,56
48,20,84,55
47,19,83,55
47,20,83,54
46,19,83,54
47,19,82,54
49,26,82,54
49,27,81,54
48,26,81,53
49,26,81,53
48,26,81,53
48,25,79,52
48,25,79,52
47,25,79,51
47,25,79,51
47,25,78,51
47,25,78,51
46,25,78,51
46,25,77,50
46,25,77,51
46,25,77,50
45,24,76,51
46,24,76,50
45,24,76,49
45,24,76,49
45,24,75,49
45,24,75,49
44,23,75,48
44,24,74,48
44,23,74,48
44,24,73,48
44,24,73,48
44,24,73,48
44,24,72,47
44,24,71,46
43,24,71,47
43,23,71,47
43,24,71,46
43,23,71,46
42,23,71,46
42,23,71,46
42,23,70,46
42,22,70,45
42,22,70,46
43,22,70,44
44,22,69,45
43,22,69,44
43,22,68,44
43,23,68,44
42,23,67,44
42,22,67,43
42,22,67,43
41,22,67,43
41,21,67,43
41,22,66,43
41,21,66,42
41,21,66,42
41,21,66,42
41,21,65,42
41,22,65,42
40,22,64,41
39,21,64,41
39,21,64,41
39,21,63,41
39,21,63,39
39,21,63,40
39,21,63,39
39,21,62,39
39,21,62,39
39,20,62,39
41,20,62,39
41,21,62,39
42,20,61,39
41,19,61,39
41,19,61,39
41,19,61,39
41,19,60,38
39,19,60,38
40,19,60,38
39,19,60,38
39,19,59,37
39,19,59,38
39,19,59,37
44,19,58,37
54,19,58,37
59,22,58,37
58,22,57,37
58,22,57,36
57,22,57,36
57,21,57,36
57,22,57,35
57,21,57,36
57,21,56,35
56,21,56,35
56,21,56,35
56,21,56,35
56,20,55,35
56,20,57,35
55,20,57,35
54,20,56,35
55,21,56,34
54,20,56,34
54,20,56,34
53,20,56,34
53,19,56,34
53,19,56,33
53,19,54,33
53,19,56,33
52,19,99,33
57,22,107,33
64,35,106,33
64,36,105,32
63,36,105,33
63,35,103,32
63,35,103,32
62,35,103,32
62,35,103,31
63,35,103,31
61,34,101,31
61,34,101,31
61,34,101,31
61,34,100,31
61,38,99,31
60,38,99,31
59,37,99,34
59,36,99,34
59,37,98,34
59,37,97,34
59,36,97,34
59,36,97,33
58,36,96,33
58,35,96,33
57,35,96,33
57,35,95,33
57,35,94,33
57,35,94,32
57,35,94,31
56,34,93,31
56,35,93,31
56,34,92,31
56,34,92,31
55,34,92,31
55,33,91,31
55,33,91,31
54,34,91,31
54,33,90,30
54,33,90,31
53,33,89,30
54,32,89,30
53,32,88,65
53,32,88,67
53,31,88,67
53,31,88,66
52,31,87,66
52,31,87,65
51,31,87,65
51,31,86,65
51,31,85,64
51,30,85,63
50,31,85,63
50,30,85,63
51,30,85,63
50,30,83,63
50,30,83,63
50,30,83,62
49,30,83,62
49,30,83,61
49,30,82,61
49,30,82,61
48,29,81,60
48,29,81,60
48,29,81,60
48,29,81,60
48,28,80,60
48,28,79,60
49,29,79,59
49,29,79,58
48,29,79,58
48,29,78,58
48,29,78,57
48,29,78,57
48,29,78,57
47,28,77,57
47,28,77,57
47,28,76,56
47,28,76,56
47,28,76,56
56,29,162,56
57,42,190,56
56,41,188,55
55,41,187,55
55,41,186,55
55,39,185,54
54,39,184,54
54,39,183,54
54,39,183,54
53,39,181,53
53,39,181,53
53,39,179,53
53,39,179,52
59,39,178,52
60,39,177,52
60,39,176,51
60,39,176,51
59,38,174,51
59,38,174,51
59,38,173,51
58,37,172,51
58,38,171,50
58,37,171,50
57,37,169,50
57,37,169,49
63,37,167,50
63,37,167,49
63,36,167,49
63,35,166,48
62,36,165,48
62,36,165,48
62,36,163,48
62,35,163,48
61,35,162,47
61,35,161,47
61,35,161,47
60,35,160,47
99,59,159,114
114,119,159,231
112,117,158,240
112,116,157,238
111,115,156,236
110,114,156,235
110,114,155,233
109,113,154,231
109,113,153,230
108,111,153,229
108,111,152,227
108,111,152,227
113,112,150,225
112,111,150,265
112,111,149,358
110,110,148,355
110,109,147,352
109,108,147,348
108,108,146,346
108,107,145,344
107,107,145,342
107,106,143,339
106,105,143,337
105,105,143,335
105,103,142,333
103,103,141,331
103,103,140,327
103,103,140,327
103,102,139,325
102,102,138,323
102,101,137,321
101,100,137,319
100,99,135,317
99,99,135,315
99,99,135,314
99,98,135,312
98,98,134,311
98,97,133,309
97,97,133,307
97,97,132,306
97,96,131,304
96,96,131,303
96,96,131,301
96,94,130,300
95,94,129,298
94,94,129,297
94,93,128,295
94,93,128,294
93,93,127,293
93,92,127,309
92,92,127,449
92,92,126,561
92,91,194,670
91,91,196,664
90,90,195,657
90,89,193,651
89,89,192,645
110,89,191,639
124,88,190,635
123,88,189,629
122,88,188,623
122,87,187,619
121,87,186,613
120,86,185,609
120,85,184,604
120,85,184,600
118,85,182,595
118,84,182,590
117,83,180,586
117,83,179,581
116,83,179,577
115,83,177,573
115,82,177,568
114,81,176,564
113,81,175,560
113,80,174,557
112,80,173,551
112,80,172,548
111,79,172,545
111,79,172,541
110,79,171,537
110,78,170,533
109,78,169,530
108,78,167,527
108,77,167,523
107,77,167,519
107,77,166,515
107,76,165,513
105,76,163,509
105,75,163,505
105,75,163,503
103,74,162,499
103,75,161,496
103,74,161,493
103,73,159,489
102,73,159,487
101,73,158,483
101,71,157,480
100,71,157,478
100,71,156,475
99,71,155,472
99,71,154,469
99,71,154,466
98,70,153,463
98,70,152,461
97,69,152,458
97,69,151,455
96,69,151,453
96,69,150,451
95,68,149,448
95,68,149,446
95,68,163,444
94,67,179,547
102,67,213,674
101,67,211,665
101,66,210,658
100,66,208,654
99,65,207,647
99,65,206,643
99,65,205,638
98,65,204,632
97,65,203,628
97,64,202,622
96,64,201,618
96,63,203,613
96,63,202,609
95,63,201,604
94,63,199,600
94,62,199,595
94,62,198,591
93,62,197,587
93,61,195,583
92,62,195,579
92,61,194,575
92,61,193,570
91,60,192,567
91,60,192,562
90,60,190,559
90,60,189,556
89,59,188,551
89,59,188,548
89,59,187,543
88,58,185,540
88,58,185,537
88,58,184,534
87,57,184,531
87,57,182,526
86,57,182,524
86,57,181,519
85,57,179,516
85,56,179,513
85,56,179,510
84,56,177,507
83,56,177,504
83,55,176,500
83,55,175,497
82,55,179,494
82,54,236,492
81,54,235,489
81,54,233,486
81,53,231,483
80,53,231,480
80,53,230,477
79,53,228,474
79,53,227,472
79,52,227,468
79,52,225,466
78,51,224,463
78,51,223,460
78,51,221,459
77,51,220,455
77,51,220,453
77,51,219,450
76,50,217,448
76,50,216,446
76,49,216,443
76,50,214,441
75,49,213,438
75,49,212,435
74,49,211,433
74,49,225,431
74,48,223,429
73,48,222,425
81,48,221,423
152,49,220,422
150,50,218,419
150,49,217,416
148,49,216,414
147,49,216,412
147,48,214,409
146,48,213,408
145,48,211,405
143,48,211,403
143,47,320,401
143,48,358,399
142,48,354,397
141,47,352,394
140,47,350,391
139,46,347,390
139,46,345,387
138,46,344,386
137,46,342,384
135,46,339,382
135,46,338,380
135,45,335,377
135,62,334,376
134,108,332,375
171,143,330,371
169,142,367,370
167,142,499,368
167,141,502,366
166,140,497,364
165,139,493,362
164,137,487,359
183,137,486,358
218,135,483,356
311,174,478,354
306,171,475,352
304,170,472,350
302,167,468,348
300,167,465,347
298,167,462,345
295,166,459,343
295,165,455,341
293,164,453,339
291,163,450,338
289,163,447,335
287,161,444,334
286,159,441,332
284,159,439,331
283,159,435,329
281,157,433,327
280,157,430,326
278,156,428,323
275,155,425,322
275,154,423,321
273,153,420,319
271,153,417,318
270,152,415,316
268,151,412,314
267,150,410,312
265,149,408,312
263,148,405,310
263,147,403,308
270,147,400,307
277,146,398,305
275,146,395,304
331,145,394,302
377,143,391,301
374,143,389,300
371,142,387,297
369,142,384,295
366,141,382,295
364,140,380,293
361,139,378,292
359,139,376,291
357,139,374,289
355,137,371,287
352,137,370,286
350,135,368,285
348,135,366,283
346,135,364,282
344,134,361,281
342,133,359,280
340,132,358,278
338,132,355,277
335,131,353,275
334,130,352,275
332,130,350,273
331,129,348,271
327,128,346,270
326,127,344,269
324,127,343,268
323,127,341,267
320,126,339,265
319,125,337,263
317,125,335,263
316,124,334,262
313,124,332,260
312,123,329,259
310,131,327,258
308,130,327,256
307,129,325,255
305,128,323,255
304,127,321,253
302,127,319,252
300,127,319,251
299,126,317,250
335,125,315,249
359,124,314,248
455,124,312,246
499,125,311,245
496,124,309,243
492,123,307,243
487,123,306,241
483,122,304,241
480,122,303,240
477,121,302,238
473,120,300,237
470,120,299,237
467,120,310,235
463,118,321,235
460,118,319,233
457,117,317,231
454,117,315,231
451,116,313,230
448,115,312,229
446,115,309,227
443,114,313,227
440,114,311,226
437,113,310,225
434,113,307,224
431,112,306,223
429,112,304,222
425,111,303,221
423,110,301,220
420,110,299,219
417,109,297,217
415,109,295,217
412,108,295,216
410,108,293,215
408,107,291,214
405,106,290,213
403,106,289,212
399,105,287,211
398,105,285,210
396,105,284,209
393,103,283,208
391,103,281,207
388,103,280,206
386,103,280,205
384,115,277,205
382,114,275,204
379,113,275,203
377,113,273,203
375,112,272,201
373,112,271,199
371,111,270,199
368,110,268,199
367,109,267,198
364,109,265,197
363,108,323,196
359,108,348,195
358,108,345,257
357,107,344,283
355,106,340,281
352,105,338,279
351,105,337,277
348,103,335,275
347,103,332,274
344,103,330,271
344,103,327,270
341,102,327,269
339,102,324,268
337,101,323,266
335,100,321,263
334,100,319,262
332,99,317,262
330,99,316,259
327,98,313,259
327,99,312,257
325,97,311,255
323,97,308,254
322,97,307,253
319,96,305,252
319,96,304,250
317,96,302,248
315,95,300,248
314,95,299,246
312,94,297,246
311,94,295,243
310,93,294,243
307,93,293,241
306,92,291,240
305,92,289,239
303,92,289,238
301,91,287,237
300,93,285,235
299,95,284,234
297,95,283,233
295,94,281,231
295,93,280,231
293,93,279,229
291,93,277,227
290,92,275,227
289,91,275,226
287,91,273,225
286,91,271,224
285,108,270,222
284,111,269,221
282,109,267,220
280,109,267,219
280,108,265,218
278,108,263,217
276,107,262,216
275,107,262,215
274,106,259,214
271,105,259,212
271,105,257,212
270,141,255,211
269,163,255,209
268,161,254,207
266,160,252,207
265,159,251,206
263,158,250,205
262,157,249,204
261,156,248,203
259,156,247,203
259,155,246,201
257,154,244,199
255,153,243,199
255,152,242,199
254,152,241,197
252,151,240,196
251,150,239,195
250,149,238,195
249,148,237,193
248,147,236,193
247,146,235,192
246,145,233,192
244,144,231,190
243,143,231,189
242,143,230,189
241,142,230,188
240,142,228,199
238,141,227,204
237,140,226,203
236,139,225,202
235,139,224,199
234,138,223,199
233,137,222,198
231,136,221,197
231,135,221,196
229,135,219,195
229,135,218,194
227,134,217,193
226,133,216,192
226,132,216,191
224,131,215,190
223,131,214,189
222,130,213,188
221,129,211,187
220,129,211,186
219,128,210,185
219,127,209,184
217,127,207,184
216,126,207,183
216,126,206,182
214,125,205,181
213,124,204,180
212,124,204,179
211,123,203,179
210,123,202,178
210,122,201,177
208,121,199,176
207,121,199,176
207,120,198,175
205,120,197,174
205,119,196,174
204,118,195,172
203,118,195,172
202,117,194,171
201,116,193,170
199,116,192,169
199,115,192,169
198,115,190,167
198,114,190,167
196,113,189,167
195,113,188,166
195,112,187,166
193,112,187,165
193,111,185,164
192,111,185,163
192,110,184,163
191,110,184,162
190,109,182,161
189,108,182,160
188,108,181,159
187,107,180,159
186,107,179,158
185,106,179,158
185,106,178,157
184,105,177,156
183,105,176,156
182,103,176,155
182,103,175,155
180,103,174,153
179,103,173,153
179,102,172,152
178,102,172,152
177,102,171,151
177,100,171,151
176,100,170,150
175,99,169,149
174,99,167,149
174,99,167,148
178,98,167,147
178,98,166,147
176,97,166,146
176,97,165,146
175,96,163,145
174,96,163,144
173,95,163,144
172,95,162,143
172,94,162,143
171,94,161,142
170,94,160,142
169,93,159,141
167,92,159,140
167,92,158,140
167,92,157,140
166,91,157,139
166,91,156,139
165,91,156,137
164,90,155,137
163,89,155,137
163,89,154,135
162,89,153,135
161,89,153,135
161,88,152,135
159,87,152,134
159,87,151,134
159,86,150,133
158,86,149,132
157,86,149,132
157,85,148,131
156,85,147,130
156,84,147,130
155,84,147,130
154,84,146,129
153,83,146,129
